col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
0.5011951982,1.4731090050,1.0451865840,2.1318767167,1.8571366436,0.5445625010,1.2166487741,0.1120973701,0.2290251935,0.5183497047
0.5376809029,0.7295759576,0.3617999699,1.0073464427,0.7585451386,1.2229638147,0.2704859996,-1.2146807615,-0.6955247776,-0.3292115595
-0.9673714129,-0.6326643040,1.9047589394,-0.0134159861,2.6399297590,1.4803678573,0.5460462968,-0.7321089167,-0.9213700968,-0.5998652106
-0.9670413026,-0.5956284844,0.0172700528,1.7873054880,1.3706544621,1.4558718602,0.6325497605,-1.2484342879,-1.2311889533,-0.7300921939
-1.4335664151,-1.2254472176,-1.3287096727,0.2694954557,1.1989944386,1.3276748905,-0.2951792782,-1.5102484887,-2.2910215793,-1.0003520607
-1.6128130402,-0.4823808097,-0.8444147476,0.2162908962,0.8832214913,0.3391386380,-0.5612321013,-1.2555599396,-0.4803050817,-1.5181240659
-1.5288351711,-1.0497315785,-0.4651262184,-0.8398910434,0.2554587412,-0.0043519531,-0.0080518426,-1.4672842987,-1.0014299751,-1.6894081969
-1.4264564363,-1.3315786458,-0.7577156572,-1.0512494836,-0.2787293416,0.4232201339,0.0565923276,0.2084515613,-0.5659512177,-0.3675729028
-1.4267093882,-0.9781591055,-0.0998311117,-1.1383761505,-0.8315820840,-1.1715986611,-0.8144404036,-0.8481583055,-0.1560242635,-0.5036080978
-1.3721547214,-1.7308556386,-1.5654846734,-1.1867519113,-0.5759170479,0.8684990369,-0.5310813609,0.0878861531,0.2393600174,-1.0383078880
