rank,ranked_pred_row,overlap_deposit_ids,hit_deposit_ids
1,2774,,
2,7912,,
3,539,,
4,1219,3,
5,2615,,
6,3466,,
7,3038,,
8,1380,3,
9,8885,,
10,2667,,
11,1539,3,3
12,1696,3,
13,7419,,
14,5636,,
15,1858,3,
16,4264,,
17,3093,,
18,2878,,
19,6806,,
20,54,,
21,1710,,
22,4099,,
23,3468,,
24,1392,,
25,877,,
26,6794,,
27,1051,,
28,5370,,
29,8694,1,1
30,3149,,
31,11618,0,
32,2457,,
33,1033,,
34,6405,,
35,4260,,
36,9201,,
37,7878,,
38,1194,,
39,875,,
40,11004,,
41,2763,,
42,719,,
43,11162,,
44,7882,,
45,4112,,
46,4751,,
47,2982,,
48,11775,0,0
49,6163,,
50,3785,,
51,1214,,
52,9,,
53,9044,,
54,6647,,
55,2332,,
56,537,,
57,217,,
58,1379,3,
59,7436,,
60,4254,,
61,7435,,
62,2072,,
63,388,4,
64,7739,,
65,6636,,
66,2180,,
67,7578,,
68,7897,,
69,716,,
70,3939,,
71,8568,,
72,3786,,
73,2160,,
74,5630,,
75,2017,,
76,9022,,
77,9043,,
78,6956,,
79,2013,,
80,7254,,
81,3622,,
82,527,,
83,3310,,
84,1538,3,
85,393,4,
86,3469,,
87,5119,,
88,11935,0,
89,762,,
90,3632,,
91,7261,,
92,8697,,
93,2828,,
94,3627,,
95,11259,,
96,5917,,
97,4518,,
98,9363,,
99,7410,,
100,2016,,
101,3624,,
102,401,,
103,3142,,
104,6328,,
105,1914,,
106,9521,,
107,11313,,
108,905,,
109,9153,,
110,11493,,
111,7269,,
112,4979,,
113,9680,,
114,2989,,
115,1233,,
116,9016,,
117,2009,,
118,2178,,
119,8721,,
120,4413,,
121,5381,,
122,9014,1,
123,3147,,
124,3944,,
125,2440,,
126,9046,,
127,11640,,
128,9361,,
129,5632,,
130,7415,,
131,846,,
132,1244,,
133,11997,,
134,6900,,
135,4587,,
136,3778,,
137,76,4,
138,3635,,
139,5698,,
140,48,,
141,7887,,
142,9714,,
143,3799,,
144,4898,,
145,3311,,
146,11961,,
147,11318,,
148,7886,,
149,6564,,
150,829,,
151,1368,,
152,5214,,
153,3792,,
154,9009,,
155,10820,,
156,3626,,
157,4113,,
158,8854,1,
159,3001,,
160,6786,,
161,2330,,
162,8197,,
163,6902,,
164,2339,,
165,8249,,
166,5814,,
167,1047,,
168,8538,,
169,1228,,
170,4422,,
171,1861,3,
172,395,4,
173,5063,,
174,715,,
175,3941,,
176,3475,,
177,5181,,
178,37,,
179,2174,,
180,5529,,
181,8409,,
182,4201,,
183,8317,,
184,7722,,
185,10982,,
186,11002,,
187,4754,,
188,3796,,
189,4904,,
190,11481,,
191,12156,,
192,7098,,
193,5678,,
194,9171,,
195,11839,,
196,9522,,
197,1222,3,
198,724,,
199,9312,,
200,2350,,
201,7920,,
202,4199,,
203,8726,,
204,5787,,
205,4699,,
206,4743,,
207,3227,,
208,73,4,4
209,1912,,
210,6483,,
211,5640,,
212,8088,,
213,1073,,
214,9478,,
215,6587,,
216,11453,,
217,5321,,
218,6429,,
219,4295,,
220,2284,,
221,1137,,
222,5210,,
223,8978,,
224,4901,,
225,8037,,
226,888,,
227,59,,
228,656,,
229,4704,,
230,3464,,
231,2104,,
232,1354,,
233,1297,,
234,3937,,
235,2923,,
236,2365,,
237,7289,,
238,3130,,
239,1551,,
240,933,,
241,6645,,
242,1518,,
243,556,,
244,6120,,
245,4706,,
246,4268,,
247,5854,,
248,4229,,
249,12475,,
250,220,,
