rank,window_row,distance,is_paper_top20,is_paper_top250
1,2774,1.0777130638113075,True,True
2,7419,1.9155954149058936,True,True
3,1858,2.0884738656711646,True,True
4,539,2.1985576526767394,True,True
5,2615,2.2089205828444602,True,True
6,3466,2.315937758124459,True,True
7,3038,2.360627073753859,True,True
8,1380,2.4300134962710396,True,True
9,7912,2.483870219427937,True,True
10,2667,2.487607018372326,True,True
11,1219,2.5154696930808624,True,True
12,54,2.5263250805712474,True,True
13,4264,2.5393728938410516,True,True
14,1696,2.630543316206005,True,True
15,1539,2.632502618027299,True,True
16,8885,2.64344637612258,True,True
17,3093,2.6716119175626827,True,True
18,2878,2.6901978192863045,True,True
19,6806,2.8116873198014485,True,True
20,5636,2.817984116469849,True,True
21,1033,2.8747297626798365,False,True
22,7254,2.9040585800255574,False,True
23,7593,2.981293275498283,False,False
24,6794,3.03961766038365,False,True
25,2016,3.1085899297438377,False,True
26,3311,3.112243253215818,False,True
27,11162,3.1433579185276765,False,True
28,3468,3.14675862430291,False,True
29,3632,3.180378497568127,False,True
30,1051,3.1819969332539886,False,True
31,2828,3.2151588567996563,False,True
32,2982,3.222566707905741,False,True
33,3149,3.22559649413475,False,True
34,6636,3.2287825630480294,False,True
35,1209,3.2456574068157606,False,False
36,7878,3.25339507969674,False,True
37,719,3.253743131601766,False,True
38,4260,3.2562463512106614,False,True
39,2763,3.2564848270866054,False,True
40,5370,3.260413616158295,False,True
41,4751,3.2785382041091955,False,True
42,3227,3.279406750695826,False,True
43,11259,3.317684879917187,False,True
44,7882,3.3241236464352877,False,True
45,545,3.328441569400164,False,False
46,10842,3.3293095052708033,False,False
47,8694,3.3347174285498045,False,True
48,8088,3.3429713507010304,False,True
49,11775,3.3712723701905123,False,True
50,2072,3.38329655569082,False,True
51,212,3.3903719201249096,False,False
52,217,3.392781153819479,False,True
53,6792,3.4077386180173828,False,False
54,1367,3.4078441108223902,False,False
55,3939,3.4115689237077045,False,True
56,4107,3.4117487862051092,False,False
57,6328,3.4257750812500514,False,True
58,1354,3.4297085432679464,False,True
59,11640,3.436190838834709,False,True
60,8197,3.446984467517743,False,True
61,556,3.4655911758215443,False,True
62,537,3.468901669935955,False,True
63,1212,3.472674923739153,False,False
64,3040,3.473540414499685,False,False
65,9016,3.4758374970944894,False,True
66,1376,3.4789402911683545,False,False
67,9022,3.4971535291292173,False,True
68,11997,3.5182977364993993,False,True
69,709,3.518721401963477,False,False
70,3310,3.5248216832207238,False,True
71,4903,3.5357270482918963,False,False
72,2160,3.5378464981290114,False,True
73,1194,3.5440136380052105,False,True
74,7883,3.5559422015672326,False,False
75,3624,3.56211144056611,False,True
76,1233,3.581629906067695,False,True
77,7287,3.5857779378763137,False,False
78,5214,3.59678181731696,False,True
79,3909,3.6047286691946745,False,False
80,9042,3.6060384732355275,False,False
81,6078,3.6072362374104205,False,False
82,877,3.6126158319199697,False,True
83,7435,3.615930990143662,False,True
84,4099,3.617693180681026,False,True
85,5757,3.62148133813402,False,False
86,9046,3.622544004992951,False,True
87,2980,3.6253691344959944,False,False
88,2180,3.6318627601430786,False,True
89,52,3.644243828646478,False,False
90,875,3.655881996527042,False,True
91,9363,3.6615600219945397,False,True
92,725,3.667532011596934,False,False
93,3627,3.676237374169233,False,True
94,10999,3.6792002448177814,False,False
95,1187,3.682390690058559,False,False
96,3622,3.6983943760900244,False,True
97,1358,3.7048973265668703,False,False
98,7410,3.705200698831387,False,True
99,3142,3.7052480557752117,False,True
100,11961,3.7093179776144893,False,True
101,1,3.710352718248155,False,False
102,7436,3.710850526626302,False,True
103,12154,3.7109649828437408,False,False
104,2178,3.712314746776986,False,True
105,2365,3.7156674647778773,False,True
106,220,3.7165150152347013,False,True
107,5342,3.7173215930751105,False,False
108,7739,3.7279886134920655,False,True
109,4199,3.729952266653444,False,True
110,10844,3.7480068731141416,False,False
111,3145,3.7567190489762763,False,False
112,3779,3.765837718548068,False,False
113,4295,3.7659286578204196,False,True
114,10820,3.7698125990317983,False,True
115,6109,3.771376167205506,False,False
116,1831,3.785674375806583,False,False
117,395,3.7910263335749264,False,True
118,388,3.793975489181097,False,True
119,5913,3.794782388031013,False,False
120,1914,3.7958944118765423,False,True
121,7415,3.7979648276373164,False,True
122,11453,3.798208262185005,False,True
123,933,3.80527540486856,False,True
124,1379,3.807702525718568,False,True
125,11100,3.811961615684183,False,False
126,2923,3.8189494138662874,False,True
127,1073,3.819206103336968,False,True
128,5021,3.821586185666794,False,False
129,11651,3.821635068261303,False,False
130,905,3.82266694132839,False,True
131,2989,3.8228029276632003,False,True
132,1854,3.824406087005414,False,False
133,9009,3.82892076621792,False,True
134,11618,3.832581607856965,False,True
135,5836,3.8349349732546556,False,False
136,8044,3.835129602669471,False,False
137,4699,3.8379433597499872,False,True
138,718,3.8385169817025395,False,False
139,11996,3.8395708796978663,False,False
140,1214,3.8436208878904776,False,True
141,888,3.8445365861679575,False,True
142,12574,3.8463696588640843,False,False
143,11933,3.847280008681128,False,False
144,7289,3.8490788407405976,False,True
145,7751,3.8505169926069893,False,False
146,9153,3.8589812672873345,False,True
147,5917,3.860974099153624,False,True
148,8409,3.863875898737884,False,True
149,2332,3.868165728235267,False,True
150,6163,3.869204622104414,False,True
151,8538,3.8753245418716133,False,True
152,3799,3.8803919781997305,False,True
153,7887,3.8916781107655254,False,True
154,7920,3.894276358116556,False,True
155,4731,3.8975395048726043,False,False
156,1197,3.899374566524908,False,False
157,2514,3.904997241565253,False,False
158,8884,3.9053860906249684,False,False
159,399,3.9066623682844432,False,False
160,4421,3.911637561147422,False,False
161,4971,3.9117978810188516,False,False
162,4584,3.9124848526949982,False,False
163,401,3.9161618827391895,False,True
164,2915,3.917665016865448,False,False
165,3796,3.918379263576833,False,True
166,6120,3.9187772705979436,False,True
167,8558,3.918911342756695,False,False
168,1222,3.92514512622189,False,True
169,7378,3.929808462396823,False,False
170,1715,3.932683531269334,False,False
171,6258,3.9378615555567897,False,False
172,11313,3.9407334664075684,False,True
173,5119,3.9412767125282384,False,True
174,4112,3.942416698195515,False,True
175,7869,3.9483169192867367,False,False
176,10843,3.9553288869789625,False,False
177,2125,3.9557546709244584,False,False
178,4257,3.9558635042483097,False,False
179,6417,3.9599312259151915,False,False
180,6084,3.9599845687541237,False,False
181,1688,3.9608119864640217,False,False
182,3001,3.9610744127526267,False,True
183,9450,3.9651349469445374,False,False
184,8568,3.971360883475157,False,True
185,92,3.9736361933148316,False,False
186,3303,3.9754980534692512,False,False
187,9735,3.977123003646162,False,False
188,1082,3.979361442005592,False,False
189,9171,3.981041827037706,False,True
190,7058,3.982850834634621,False,False
191,1228,3.985113375104104,False,True
192,9136,3.985810426126453,False,False
193,2457,3.988603427115261,False,True
194,11002,3.9911516006317016,False,True
195,2776,3.9997091405308325,False,False
196,7386,4.0012170892335845,False,False
197,6101,4.00312688745164,False,False
