k_pcs,mean_recovered_frac_250,auc_recovery,n_hits,first_hit_rank,deposits_hit_1based
2,0.242124,44.9395,2,16,11|12
3,0.355132,43.1424,4,8,5|8|11|12
4,0.37334,36.0679,4,9,5|8|11|12
5,0.382622,43.9186,4,5,1|5|8|11
6,0.382622,46.9973,4,8,1|5|8|11
7,0.382622,46.9973,4,8,1|5|8|11
8,0.382622,47.2696,4,8,1|5|8|11
9,0.410327,50.2023,4,8,1|5|8|11
10,0.410327,50.2023,4,8,1|5|8|11
11,0.407795,52.9826,4,5,1|5|8|11
12,0.471,57.7571,5,5,1|2|5|8|11
14,0.471,57.848,5,5,1|2|5|8|11
17,0.470365,57.8981,5,5,1|2|5|8|11
20,0.470365,57.8272,5,5,1|2|5|8|11
25,0.470365,57.8579,5,5,1|2|5|8|11
30,0.470365,57.9771,5,5,1|2|5|8|11
40,0.470365,57.8267,5,5,1|2|5|8|11
60,0.470365,57.9632,5,5,1|2|5|8|11
