k1,k2,a_uni,U,TMI,adv_over_U
1,1,0.3308,0.2739,0.1791,0.0569
1,2,0.4397,0.4005,0.1791,0.0392
1,3,0.4422,0.403,0.1791,0.0392
1,4,0.4216,0.442,0.1791,-0.0204
1,5,0.3506,0.4342,0.1791,-0.0836
1,6,0.3687,0.4303,0.1791,-0.0616
1,7,0.3641,0.4381,0.1791,-0.074
1,8,0.4018,0.4546,0.1791,-0.0528
1,9,0.4266,0.4773,0.1791,-0.0507
1,10,0.3969,0.4568,0.1791,-0.06
1,11,0.3969,0.4568,0.1791,-0.06
1,12,0.3767,0.4381,0.1791,-0.0614
1,13,0.3767,0.4381,0.1791,-0.0614
1,14,0.3767,0.4381,0.1791,-0.0614
1,15,0.3767,0.4381,0.1791,-0.0614
2,1,0.3785,0.2739,0.3226,0.1046
2,2,0.4833,0.4005,0.3226,0.0828
2,3,0.5008,0.403,0.3226,0.0978
2,4,0.4492,0.442,0.3226,0.0072
2,5,0.412,0.4342,0.3226,-0.0221
2,6,0.4832,0.4303,0.3226,0.0529
2,7,0.4811,0.4381,0.3226,0.043
2,8,0.4906,0.4546,0.3226,0.0359
2,9,0.4906,0.4773,0.3226,0.0133
2,10,0.4701,0.4568,0.3226,0.0133
2,11,0.4701,0.4568,0.3226,0.0133
2,12,0.4503,0.4381,0.3226,0.0122
2,13,0.4503,0.4381,0.3226,0.0122
2,14,0.4386,0.4381,0.3226,0.0006
2,15,0.4386,0.4381,0.3226,0.0006
3,1,0.2663,0.2739,0.2219,-0.0076
3,2,0.3811,0.4005,0.2219,-0.0194
3,3,0.3986,0.403,0.2219,-0.0044
3,4,0.3945,0.442,0.2219,-0.0476
3,5,0.3585,0.4342,0.2219,-0.0757
3,6,0.4031,0.4303,0.2219,-0.0272
3,7,0.4019,0.4381,0.2219,-0.0362
3,8,0.4185,0.4546,0.2219,-0.0362
3,9,0.4185,0.4773,0.2219,-0.0589
3,10,0.4147,0.4568,0.2219,-0.0422
3,11,0.398,0.4568,0.2219,-0.0589
3,12,0.3949,0.4381,0.2219,-0.0432
3,13,0.3949,0.4381,0.2219,-0.0432
3,14,0.3832,0.4381,0.2219,-0.0548
3,15,0.3832,0.4381,0.2219,-0.0548
4,1,0.2771,0.2739,0.2124,0.0032
4,2,0.4007,0.4005,0.2124,0.0001
4,3,0.4181,0.403,0.2124,0.0151
4,4,0.4147,0.442,0.2124,-0.0274
4,5,0.4038,0.4342,0.2124,-0.0303
4,6,0.45,0.4303,0.2124,0.0197
4,7,0.4488,0.4381,0.2124,0.0107
4,8,0.4654,0.4546,0.2124,0.0107
4,9,0.4654,0.4773,0.2124,-0.012
4,10,0.4449,0.4568,0.2124,-0.012
4,11,0.4449,0.4568,0.2124,-0.012
4,12,0.4418,0.4381,0.2124,0.0037
4,13,0.4418,0.4381,0.2124,0.0037
4,14,0.4301,0.4381,0.2124,-0.0079
4,15,0.4301,0.4381,0.2124,-0.0079
5,1,0.2771,0.2739,0.2124,0.0032
5,2,0.4007,0.4005,0.2124,0.0001
5,3,0.4181,0.403,0.2124,0.0151
5,4,0.4147,0.442,0.2124,-0.0274
5,5,0.4038,0.4342,0.2124,-0.0303
5,6,0.45,0.4303,0.2124,0.0197
5,7,0.4488,0.4381,0.2124,0.0107
5,8,0.4654,0.4546,0.2124,0.0107
5,9,0.4654,0.4773,0.2124,-0.012
5,10,0.4449,0.4568,0.2124,-0.012
5,11,0.4449,0.4568,0.2124,-0.012
5,12,0.4418,0.4381,0.2124,0.0037
5,13,0.4418,0.4381,0.2124,0.0037
5,14,0.4301,0.4381,0.2124,-0.0079
5,15,0.4301,0.4381,0.2124,-0.0079
6,1,0.2741,0.2739,0.1586,0.0002
6,2,0.3962,0.4005,0.1586,-0.0044
6,3,0.3967,0.403,0.1586,-0.0063
6,4,0.3977,0.442,0.1586,-0.0443
6,5,0.405,0.4342,0.1586,-0.0292
6,6,0.4374,0.4303,0.1586,0.0071
6,7,0.4473,0.4381,0.1586,0.0092
6,8,0.4639,0.4546,0.1586,0.0092
6,9,0.4639,0.4773,0.1586,-0.0135
6,10,0.4434,0.4568,0.1586,-0.0135
6,11,0.4434,0.4568,0.1586,-0.0135
6,12,0.4393,0.4381,0.1586,0.0013
6,13,0.4393,0.4381,0.1586,0.0013
6,14,0.4393,0.4381,0.1586,0.0013
6,15,0.4393,0.4381,0.1586,0.0013
7,1,0.3101,0.2739,0.2096,0.0362
7,2,0.4044,0.4005,0.2096,0.0038
7,3,0.3982,0.403,0.2096,-0.0048
7,4,0.3992,0.442,0.2096,-0.0428
7,5,0.4064,0.4342,0.2096,-0.0277
7,6,0.4389,0.4303,0.2096,0.0086
7,7,0.4525,0.4381,0.2096,0.0144
7,8,0.469,0.4546,0.2096,0.0144
7,9,0.469,0.4773,0.2096,-0.0083
7,10,0.4448,0.4568,0.2096,-0.012
7,11,0.4448,0.4568,0.2096,-0.012
7,12,0.4408,0.4381,0.2096,0.0027
7,13,0.4408,0.4381,0.2096,0.0027
7,14,0.4408,0.4381,0.2096,0.0027
7,15,0.4408,0.4381,0.2096,0.0027
8,1,0.3101,0.2739,0.2096,0.0362
8,2,0.4044,0.4005,0.2096,0.0038
8,3,0.3982,0.403,0.2096,-0.0048
8,4,0.3992,0.442,0.2096,-0.0428
8,5,0.4064,0.4342,0.2096,-0.0277
8,6,0.4389,0.4303,0.2096,0.0086
8,7,0.4525,0.4381,0.2096,0.0144
8,8,0.469,0.4546,0.2096,0.0144
8,9,0.469,0.4773,0.2096,-0.0083
8,10,0.4448,0.4568,0.2096,-0.012
8,11,0.4448,0.4568,0.2096,-0.012
8,12,0.4408,0.4381,0.2096,0.0027
8,13,0.4408,0.4381,0.2096,0.0027
8,14,0.4408,0.4381,0.2096,0.0027
8,15,0.4408,0.4381,0.2096,0.0027
9,1,0.2811,0.2739,0.1929,0.0072
9,2,0.4044,0.4005,0.1929,0.0038
9,3,0.4049,0.403,0.1929,0.0019
9,4,0.3992,0.442,0.1929,-0.0428
9,5,0.4064,0.4342,0.1929,-0.0277
9,6,0.4389,0.4303,0.1929,0.0086
9,7,0.4525,0.4381,0.1929,0.0144
9,8,0.469,0.4546,0.1929,0.0144
9,9,0.469,0.4773,0.1929,-0.0083
9,10,0.4485,0.4568,0.1929,-0.0083
9,11,0.4448,0.4568,0.1929,-0.012
9,12,0.4338,0.4381,0.1929,-0.0043
9,13,0.4338,0.4381,0.1929,-0.0043
9,14,0.4338,0.4381,0.1929,-0.0043
9,15,0.4338,0.4381,0.1929,-0.0043
10,1,0.2736,0.2739,0.2488,-0.0003
10,2,0.4044,0.4005,0.2488,0.0038
10,3,0.4151,0.403,0.2488,0.0121
10,4,0.3992,0.442,0.2488,-0.0428
10,5,0.4064,0.4342,0.2488,-0.0277
10,6,0.4389,0.4303,0.2488,0.0086
10,7,0.4525,0.4381,0.2488,0.0144
10,8,0.469,0.4546,0.2488,0.0144
10,9,0.4574,0.4773,0.2488,-0.02
10,10,0.4485,0.4568,0.2488,-0.0083
10,11,0.4485,0.4568,0.2488,-0.0083
10,12,0.4338,0.4381,0.2488,-0.0043
10,13,0.4338,0.4381,0.2488,-0.0043
10,14,0.4338,0.4381,0.2488,-0.0043
10,15,0.4338,0.4381,0.2488,-0.0043
11,1,0.2736,0.2739,0.2507,-0.0003
11,2,0.4044,0.4005,0.2507,0.0038
11,3,0.4151,0.403,0.2507,0.0121
11,4,0.3992,0.442,0.2507,-0.0428
11,5,0.4064,0.4342,0.2507,-0.0277
11,6,0.4426,0.4303,0.2507,0.0123
11,7,0.4525,0.4381,0.2507,0.0144
11,8,0.469,0.4546,0.2507,0.0144
11,9,0.469,0.4773,0.2507,-0.0083
11,10,0.4485,0.4568,0.2507,-0.0083
11,11,0.4485,0.4568,0.2507,-0.0083
11,12,0.4338,0.4381,0.2507,-0.0043
11,13,0.4338,0.4381,0.2507,-0.0043
